snapshot_date,snapshot_timestamp,event_id,sport_key,sport_title,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market_key,market_last_update,home_price,away_price,draw_price
20260401,2026-04-01 00:37:01 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,draftkings,DraftKings,2026-04-01T04:36:10Z,h2h,2026-04-01T04:36:10Z,-278,225,
20260401,2026-04-01 00:37:01 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,fanduel,FanDuel,2026-04-01T04:36:22Z,h2h,2026-04-01T04:36:22Z,-250,198,
20260401,2026-04-01 00:37:01 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betmgm,BetMGM,2026-04-01T04:36:10Z,h2h,2026-04-01T04:36:10Z,-275,220,
20260401,2026-04-01 00:37:01 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betrivers,BetRivers,2026-04-01T04:36:09Z,h2h,2026-04-01T04:36:09Z,-315,220,
20260401,2026-04-01 00:37:01 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,draftkings,DraftKings,2026-04-01T04:36:10Z,h2h,2026-04-01T04:36:10Z,114,-135,
20260401,2026-04-01 00:37:01 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,fanduel,FanDuel,2026-04-01T04:36:22Z,h2h,2026-04-01T04:36:22Z,104,-128,
20260401,2026-04-01 00:37:01 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betrivers,BetRivers,2026-04-01T04:36:09Z,h2h,2026-04-01T04:36:09Z,104,-137,
20260401,2026-04-01 00:37:01 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betmgm,BetMGM,2026-04-01T04:36:10Z,h2h,2026-04-01T04:36:10Z,105,-125,
20260401,2026-04-01 03:05:46 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,draftkings,DraftKings,2026-04-01T07:05:16Z,h2h,2026-04-01T07:05:16Z,-278,225,
20260401,2026-04-01 03:05:46 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,fanduel,FanDuel,2026-04-01T07:05:30Z,h2h,2026-04-01T07:05:30Z,-250,198,
20260401,2026-04-01 03:05:46 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betmgm,BetMGM,2026-04-01T07:05:42Z,h2h,2026-04-01T07:05:42Z,-275,220,
20260401,2026-04-01 03:05:46 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betrivers,BetRivers,2026-04-01T07:04:42Z,h2h,2026-04-01T07:04:42Z,-315,220,
20260401,2026-04-01 03:05:46 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,draftkings,DraftKings,2026-04-01T07:05:16Z,h2h,2026-04-01T07:05:16Z,114,-135,
20260401,2026-04-01 03:05:46 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,fanduel,FanDuel,2026-04-01T07:05:30Z,h2h,2026-04-01T07:05:30Z,104,-128,
20260401,2026-04-01 03:05:46 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betrivers,BetRivers,2026-04-01T07:04:42Z,h2h,2026-04-01T07:04:42Z,112,-148,
20260401,2026-04-01 03:05:46 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betmgm,BetMGM,2026-04-01T07:05:42Z,h2h,2026-04-01T07:05:42Z,105,-125,
20260401,2026-04-01 04:51:51 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,draftkings,DraftKings,2026-04-01T08:51:01Z,h2h,2026-04-01T08:51:01Z,-278,225,
20260401,2026-04-01 04:51:51 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,fanduel,FanDuel,2026-04-01T08:51:01Z,h2h,2026-04-01T08:51:01Z,-250,198,
20260401,2026-04-01 04:51:51 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betmgm,BetMGM,2026-04-01T08:51:02Z,h2h,2026-04-01T08:51:02Z,-275,220,
20260401,2026-04-01 04:51:51 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betrivers,BetRivers,2026-04-01T08:51:15Z,h2h,2026-04-01T08:51:15Z,-286,205,
20260401,2026-04-01 04:51:51 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,draftkings,DraftKings,2026-04-01T08:51:01Z,h2h,2026-04-01T08:51:01Z,114,-135,
20260401,2026-04-01 04:51:51 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,fanduel,FanDuel,2026-04-01T08:51:01Z,h2h,2026-04-01T08:51:01Z,104,-128,
20260401,2026-04-01 04:51:51 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betrivers,BetRivers,2026-04-01T08:51:15Z,h2h,2026-04-01T08:51:15Z,-104,-129,
20260401,2026-04-01 04:51:51 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betmgm,BetMGM,2026-04-01T08:51:02Z,h2h,2026-04-01T08:51:02Z,105,-125,
20260401,2026-04-01 06:43:46 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,draftkings,DraftKings,2026-04-01T10:43:44Z,h2h,2026-04-01T10:43:44Z,-278,225,
20260401,2026-04-01 06:43:46 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,fanduel,FanDuel,2026-04-01T10:43:45Z,h2h,2026-04-01T10:43:45Z,-250,198,
20260401,2026-04-01 06:43:46 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betmgm,BetMGM,2026-04-01T10:41:29Z,h2h,2026-04-01T10:41:29Z,-275,220,
20260401,2026-04-01 06:43:46 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betrivers,BetRivers,2026-04-01T10:43:31Z,h2h,2026-04-01T10:43:31Z,-286,205,
20260401,2026-04-01 06:43:46 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,draftkings,DraftKings,2026-04-01T10:43:44Z,h2h,2026-04-01T10:43:44Z,114,-135,
20260401,2026-04-01 06:43:46 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,fanduel,FanDuel,2026-04-01T10:43:45Z,h2h,2026-04-01T10:43:45Z,104,-128,
20260401,2026-04-01 06:43:46 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betrivers,BetRivers,2026-04-01T10:43:31Z,h2h,2026-04-01T10:43:31Z,-104,-129,
20260401,2026-04-01 06:43:46 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betmgm,BetMGM,2026-04-01T10:41:29Z,h2h,2026-04-01T10:41:29Z,105,-125,
20260401,2026-04-01 08:47:36 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,draftkings,DraftKings,2026-04-01T12:47:13Z,h2h,2026-04-01T12:47:13Z,-278,225,
20260401,2026-04-01 08:47:36 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,fanduel,FanDuel,2026-04-01T12:47:00Z,h2h,2026-04-01T12:47:00Z,-260,205,
20260401,2026-04-01 08:47:36 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betmgm,BetMGM,2026-04-01T12:46:29Z,h2h,2026-04-01T12:46:29Z,-275,220,
20260401,2026-04-01 08:47:36 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betrivers,BetRivers,2026-04-01T12:46:59Z,h2h,2026-04-01T12:46:59Z,-286,205,
20260401,2026-04-01 08:47:36 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,draftkings,DraftKings,2026-04-01T12:47:13Z,h2h,2026-04-01T12:47:13Z,114,-135,
20260401,2026-04-01 08:47:36 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,fanduel,FanDuel,2026-04-01T12:47:00Z,h2h,2026-04-01T12:47:00Z,108,-132,
20260401,2026-04-01 08:47:36 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betrivers,BetRivers,2026-04-01T12:46:59Z,h2h,2026-04-01T12:46:59Z,-104,-129,
20260401,2026-04-01 08:47:36 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betmgm,BetMGM,2026-04-01T12:46:29Z,h2h,2026-04-01T12:46:29Z,105,-125,
20260401,2026-04-01 10:56:01 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,draftkings,DraftKings,2026-04-01T14:54:58Z,h2h,2026-04-01T14:54:58Z,-278,225,
20260401,2026-04-01 10:56:01 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,fanduel,FanDuel,2026-04-01T14:54:57Z,h2h,2026-04-01T14:54:57Z,-280,220,
20260401,2026-04-01 10:56:01 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betmgm,BetMGM,2026-04-01T14:55:00Z,h2h,2026-04-01T14:55:00Z,-275,220,
20260401,2026-04-01 10:56:01 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betrivers,BetRivers,2026-04-01T14:54:58Z,h2h,2026-04-01T14:54:58Z,-286,205,
20260401,2026-04-01 10:56:01 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,draftkings,DraftKings,2026-04-01T14:54:58Z,h2h,2026-04-01T14:54:58Z,114,-135,
20260401,2026-04-01 10:56:01 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,fanduel,FanDuel,2026-04-01T14:54:57Z,h2h,2026-04-01T14:54:57Z,106,-130,
20260401,2026-04-01 10:56:01 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betrivers,BetRivers,2026-04-01T14:54:58Z,h2h,2026-04-01T14:54:58Z,-104,-129,
20260401,2026-04-01 10:56:01 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betmgm,BetMGM,2026-04-01T14:55:00Z,h2h,2026-04-01T14:55:00Z,105,-125,
20260401,2026-04-01 12:41:57 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,draftkings,DraftKings,2026-04-01T16:41:18Z,h2h,2026-04-01T16:41:18Z,-278,225,
20260401,2026-04-01 12:41:57 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,fanduel,FanDuel,2026-04-01T16:41:03Z,h2h,2026-04-01T16:41:03Z,-290,225,
20260401,2026-04-01 12:41:57 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betmgm,BetMGM,2026-04-01T16:41:05Z,h2h,2026-04-01T16:41:05Z,-275,220,
20260401,2026-04-01 12:41:57 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betrivers,BetRivers,2026-04-01T16:41:04Z,h2h,2026-04-01T16:41:04Z,-286,205,
20260401,2026-04-01 12:41:57 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,draftkings,DraftKings,2026-04-01T16:41:18Z,h2h,2026-04-01T16:41:18Z,114,-135,
20260401,2026-04-01 12:41:57 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,fanduel,FanDuel,2026-04-01T16:41:03Z,h2h,2026-04-01T16:41:03Z,110,-134,
20260401,2026-04-01 12:41:57 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betrivers,BetRivers,2026-04-01T16:41:04Z,h2h,2026-04-01T16:41:04Z,104,-137,
20260401,2026-04-01 12:41:57 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betmgm,BetMGM,2026-04-01T16:41:05Z,h2h,2026-04-01T16:41:05Z,105,-125,
